MISC2,,false,,,,
DICTIONARY_NUMBER,moro,-,-,2380,,
QUERY_CODE,skip,-,1-8-2,,,
READING_MEANING_NANONI,,,,,,
READING_MEANING_READING,"ライ
チャク
チキ","いたわ.る
ただ.す
おさ.める",,,,
READING_MEANING_MEANING_ENG,reward,,,,,
READING_MEANING_MEANING_POL,"nagroda
nagradzanie
wynagradzanie",,,,,
END,勑,,,,,
,,,,,,
,,,,,,
BEGIN,鶿,9849,,,,
CODE_POINT,ucs,9dbf,,,,
CODE_POINT,jis212,1-76-23,,,,
CODE_POINT,jis213,2-94-30,,,,
RADICAL,classical,196,,,,
MISC,-,21,,-,,-
MISC2,,false,,,,
DICTIONARY_NUMBER,moro,-,-,47203,,
QUERY_CODE,skip,-,2-3-18,,,
READING_MEANING_NANONI,,,,,,
READING_MEANING_READING,シ,う,,,,
READING_MEANING_MEANING_ENG,cormorant,,,,,
READING_MEANING_MEANING_POL,kormoran,,,,,
END,鶿,,,,,
,,,,,,
,,,,,,
BEGIN,埿,6843,,,,
CODE_POINT,ucs,57ff,,,,
CODE_POINT,jis212,1-23-89,,,,
CODE_POINT,jis213,1-15-53,,,,
RADICAL,classical,32,,,,
MISC,-,11,,-,,-
MISC2,,false,,,,
DICTIONARY_NUMBER,oneill_names,-,-,1492,,
DICTIONARY_NUMBER,moro,-,-,5204,,
QUERY_CODE,skip,-,2-8-3,,,
READING_MEANING_NANONI,,,,,,
READING_MEANING_READING,"デイ
ナイ
ハン","ぬ.る
こて
ぬ.かるみ",,,,
END,埿,,,,,
,,,,,,
,,,,,,
BEGIN,倲,7066,,,,
CODE_POINT,ucs,5032,,,,
CODE_POINT,jis212,1-17-60,,,,
RADICAL,classical,9,,,,
MISC,-,10,,-,,-
MISC2,,false,,,,
DICTIONARY_NUMBER,moro,-,-,801,,
QUERY_CODE,skip,-,1-2-8,,,
READING_MEANING_NANONI,,,,,,
READING_MEANING_READING,"トウ
ツ",おろか,,,,
END,倲,,,,,
,,,,,,
,,,,,,
BEGIN,宄,10622,,,,
CODE_POINT,ucs,5b84,,,,
CODE_POINT,jis212,1-26-40,,,,
CODE_POINT,jis213,2-05-93,,,,
RADICAL,classical,40,,,,
MISC,-,5,,-,,-
MISC2,,false,,,,
DICTIONARY_NUMBER,moro,-,-,7058,,
QUERY_CODE,skip,-,2-3-2,,,
READING_MEANING_NANONI,,,,,,
READING_MEANING_READING,キ,"みだれ
よこしま",,,,
READING_MEANING_MEANING_ENG,"traitor
villain",,,,,
READING_MEANING_MEANING_POL,"zdrajca
nikczemnik
łajdak
łotr
drań
złoczyńca",,,,,
END,宄,,,,,
,,,,,,
,,,,,,
BEGIN,據,5699,,,,
CODE_POINT,ucs,64da,,,,
CODE_POINT,jis208,1-58-01,,,,
RADICAL,classical,64,,,,
MISC,-,16,"jis208|1-21-82
nelson_c|1871",-,,-
MISC2,,true,,,,
DICTIONARY_NUMBER,nelson_c,-,-,2003,,
DICTIONARY_NUMBER,nelson_n,-,-,2284,,
DICTIONARY_NUMBER,halpern_njecd,-,-,771,,
DICTIONARY_NUMBER,halpern_kkd,-,-,950,,
DICTIONARY_NUMBER,moro,5,0418,12839,,
QUERY_CODE,skip,-,1-3-13,,,
QUERY_CODE,sh_desc,-,3c5.26,,,
QUERY_CODE,four_corner,-,5103.2,,,
READING_MEANING_NANONI,,,,,,
READING_MEANING_READING,"キョ
コ",よ.る,,,,
READING_MEANING_MEANING_ENG,"to occupy
take possession of
a base",,,,,
READING_MEANING_MEANING_POL,"zajmować
zajmowanie
zajęcie
wejść w posiadanie
podstawa
baza",,,,,
END,據,,,,,
,,,,,,
,,,,,,
BEGIN,穴,1175,,,,
CODE_POINT,ucs,7a74,,,,
CODE_POINT,jis208,1-23-74,,,,
RADICAL,classical,116,,,,
MISC,6,5,,1366,,1
MISC2,,true,,,,
DICTIONARY_NUMBER,nelson_c,-,-,3313,,
DICTIONARY_NUMBER,nelson_n,-,-,4187,,
DICTIONARY_NUMBER,halpern_njecd,-,-,2159,,
DICTIONARY_NUMBER,halpern_kkd,-,-,2682,,
DICTIONARY_NUMBER,halpern_kkld,-,-,1366,,
DICTIONARY_NUMBER,halpern_kkld_2ed,-,-,1852,,
DICTIONARY_NUMBER,heisig,-,-,1316,,
DICTIONARY_NUMBER,heisig6,-,-,1413,,
DICTIONARY_NUMBER,gakken,-,-,1201,,
DICTIONARY_NUMBER,oneill_names,-,-,158,,
DICTIONARY_NUMBER,oneill_kk,-,-,984,,
DICTIONARY_NUMBER,moro,8,0639,25406,,
DICTIONARY_NUMBER,henshall,-,-,849,,
DICTIONARY_NUMBER,sh_kk,-,-,899,,
DICTIONARY_NUMBER,sh_kk2,-,-,921,,
DICTIONARY_NUMBER,jf_cards,-,-,1595,,
DICTIONARY_NUMBER,henshall3,-,-,860,,
DICTIONARY_NUMBER,tutt_cards,-,-,834,,
DICTIONARY_NUMBER,kanji_in_context,-,-,1122,,
DICTIONARY_NUMBER,kodansha_compact,-,-,1450,,
DICTIONARY_NUMBER,maniette,-,-,1326,,
QUERY_CODE,skip,-,2-3-2,,,
QUERY_CODE,sh_desc,-,3m2.2,,,
QUERY_CODE,four_corner,-,3080.2,,,
QUERY_CODE,deroo,-,762,,,
READING_MEANING_NANONI,"けな
しし
な",,,,,
READING_MEANING_READING,ケツ,あな,,,,
READING_MEANING_MEANING_ENG,"hole
aperture
slit
cave
den",,,,,
READING_MEANING_MEANING_POL,"dziura
dół
otwór
szpara
szczelina
jaskinia
nora",,,,,
END,穴,,,,,
,,,,,,
,,,,,,
BEGIN,劽,7157,,,,
CODE_POINT,ucs,52bd,,,,
CODE_POINT,jis212,1-19-68,,,,
RADICAL,classical,19,,,,
MISC,-,8,,-,,-
MISC2,,false,,,,
DICTIONARY_NUMBER,moro,-,-,2339,,
QUERY_CODE,skip,-,2-6-2,,,
READING_MEANING_NANONI,,,,,,
READING_MEANING_READING,"レツ
レチ",か.る,,,,
END,劽,,,,,
,,,,,,
,,,,,,
BEGIN,燵,2920,,,,
CODE_POINT,ucs,71f5,,,,
CODE_POINT,jis208,1-63-93,,,,
RADICAL,classical,86,,,,
MISC,-,17,,-,,-
MISC2,,true,,,,
DICTIONARY_NUMBER,nelson_c,-,-,2799,,
DICTIONARY_NUMBER,nelson_n,-,-,3477,,
DICTIONARY_NUMBER,moro,7,0551,19504,,
QUERY_CODE,skip,-,1-4-13,,,
QUERY_CODE,sh_desc,-,4d12.6,,,
QUERY_CODE,four_corner,-,9483.4,,,
READING_MEANING_NANONI,,,,,,
READING_MEANING_READING,タツ,,,,,
READING_MEANING_MEANING_ENG,"foot warmer
(kokuji)",,,,,
READING_MEANING_MEANING_POL,"kapcie
podgrzewacze stóp
(kokuji)",,,,,
END,燵,,,,,
,,,,,,
,,,,,,
BEGIN,䆿,12702,,,,
CODE_POINT,ucs,41BF,,,,
CODE_POINT,jis213,2-83-23,,,,
RADICAL,classical,116,,,,
MISC,-,19,,-,,-
MISC2,,false,,,,
QUERY_CODE,skip,-,2-5-14,,,
READING_MEANING_NANONI,,,,,,
READING_MEANING_READING,,,,,,
READING_MEANING_MEANING_ENG,"to talk in sleep
somniloquy",,,,,
READING_MEANING_MEANING_POL,mówienie przez sen,,,,,
END,䆿,,,,,
,,,,,,
,,,,,,
BEGIN,魫,9747,,,,
CODE_POINT,ucs,9b6b,,,,
CODE_POINT,jis212,1-74-40,,,,
CODE_POINT,jis213,2-93-35,,,,
RADICAL,classical,195,,,,
MISC,-,15,,-,,-
MISC2,,false,,,,
DICTIONARY_NUMBER,moro,-,-,46003,,
QUERY_CODE,skip,-,1-11-4,,,
READING_MEANING_NANONI,,,,,,
READING_MEANING_READING,シン,さかなのこ,,,,
READING_MEANING_MEANING_ENG,the young of fish,,,,,
READING_MEANING_MEANING_POL,młoda ryba,,,,,
END,魫,,,,,
,,,,,,
,,,,,,
BEGIN,泮,11262,,,,
CODE_POINT,ucs,6cee,,,,
CODE_POINT,jis212,1-39-08,,,,
CODE_POINT,jis213,1-86-63,,,,
RADICAL,classical,85,,,,
MISC,-,8,,-,,-
MISC2,,false,,,,
DICTIONARY_NUMBER,moro,-,-,17323,,
QUERY_CODE,skip,-,1-3-5,,,
READING_MEANING_NANONI,,,,,,
READING_MEANING_READING,ハン,わかつ,,,,
READING_MEANING_MEANING_ENG,"Zhou dynasty school
disperse
fall apart",,,,,
READING_MEANING_MEANING_POL,"szkoła dynastii Zhou
rozpraszanie
rozpędzanie
rozpaść
załamanie się",,,,,
END,泮,,,,,
,,,,,,
,,,,,,
BEGIN,席,738,,,,
CODE_POINT,ucs,5e2d,,,,
CODE_POINT,jis208,1-32-42,,,,
RADICAL,classical,50,,,,
RADICAL,nelson_c,53,,,,
MISC,4,10,,370,,2
MISC2,,true,,,,
DICTIONARY_NUMBER,nelson_c,-,-,1513,,
DICTIONARY_NUMBER,nelson_n,-,-,1561,,
DICTIONARY_NUMBER,halpern_njecd,-,-,3113,,
DICTIONARY_NUMBER,halpern_kkd,-,-,3865,,
DICTIONARY_NUMBER,halpern_kkld,-,-,1986,,
