118,1,譹,-,"ryk
ryczeć
huk
huczeć
krzyk
krzyczeć
wrzask
szybko
prędko
bystro
przerażać
straszyć",
119,1,譸,-,"oszukiwać
zwodzić
okłamywać
śpieszyć się
pędzić
rozbiegany",
120,1,譼,-,"ograniczenia w utworzeniu rządów
kontrolować
nadzorować
kierować",
121,1,譾,-,"płytki
powierzchowny
durny
głupi
idiotyczny",
122,1,譱,-,"dobry
dobroć
cnotliwy
prawy
moralny",
123,1,譈,-,"niechęć
antypatia
odraza
czuć niechęć",
124,1,譌,-,"akcent
dialekt
gwara",
125,1,譍,-,odpowiadać,
126,1,譆,-,"krzyk
wrzask
wycie",
127,1,譅,-,"wić się
wiercić się
kręcić się",
128,1,譙,-,"wieża
nazwisko",
129,1,譔,-,"komponować
składać
układać
tworzyć
pisać
wychwalać
opiewać",
130,1,誶,-,"wymyślać
przesłuchać
pytać
obmawiać
szkalować
oczerniać",
131,1,誾,-,"pełen szacunku
mówić łagodnie
mówić delikatnie",
132,1,誧,-,"ogromny
olbrzymi
wielki
potężny
upominać
napominać
monitować",
133,1,誩,-,"kłócić się
sprzeczać się
spierać się",
134,1,誖,-,"bezładny
nieporządny
bałaganiarski
uparty
zawzięty
zacięty
harty
przewrotny
przekorny",
135,1,誒,-,"okrzyk potwierdzenia
okrzyk zatwierdzenia",
136,1,誚,-,"wina
potępienie
zarzut
nagana
krytyka",
137,1,誆,-,"oszukiwać
kłamać",
138,1,誃,-,"cześć
rozdzielać
dzielić",
139,1,諶,-,"wierny
dokładny
lojalny
szczery
serdecznie
nazwisko",
140,1,諴,-,"w zgodzie
w harmonii",
141,1,諵,-,mamrotać,
142,1,諼,-,"oszukiwać
zwodzić
kłamać
zapominać",
143,1,諬,-,"zaczynać
rozpoczynać
wyjaśniać
tłumaczyć
objaśniać
informować
zawiadamiać
otwierać",
144,1,諑,-,"plotka
pogłoska
wieść
oszczerstwo
zniesławienie
pomówienie",
145,1,諕,-,"zastraszyć
nastraszyć",
146,1,諗,-,"ostrożnie radzić się
starannie konsultować z
porada
rada",
147,1,諝,-,"wiedza
znajomość
nauka
zdrada
rozróżnienie
odróżnienie",
148,1,諞,-,"pochlebny
gładkość
swada",
149,1,諟,-,"uczciwy
prawy
rzetelny
szczery
rozważać
uważać
rozpatrywać
badać",
150,1,諆,-,oszukiwać,
151,1,諉,-,"obwiniać innych
zrzucać odpowiedzialność na innych",
152,1,諊,-,-,
153,1,訾,-,"złe usta
krytykować
ganić
wada
defekt
usterka",
154,1,訽,-,"wina
potępienie
winić
obwiniać
potępiać",
155,1,訬,-,"irytacja
dokuczliwość
zgiełk
krzyk
hałas
wrzawa",
156,1,訦,-,"wierny
lojalny
sumienny
szczery
serdeczny",
157,1,訢,-,"zachwycony
uszczęśliwiony
uradowany
szczęśliwy
zadowolony
radosny
usatysfakcjonowany",
158,1,訠,-,"znacznie więcej
jeszcze więcej
dziąsło",
159,1,訕,-,"obrażać
ośmieszać
wyśmiewać
szkalować
oczerniać
poniżać",
160,1,訖,-,"przybyć do
dojść do końca
osiągnąć
na koniec
ostatecznie",
161,1,訑,-,"arogancki
butny
zarozumiały
oszukiwać
zwodzić",
162,1,訐,-,"rozgłaszać
ujawniać
wyjawić
odsłaniać",
163,1,訒,-,"niechętnie mówić
opornie mówić
wahać się w mówieniu",
164,1,訏,-,"chwalić się
przechwalać się
szczycić się
przesadzać
wyolbrzymiać
szeroki
obszerny
rozległy
wielki
duży",
165,1,訇,-,"odgłos krachu
odgłos rozbicia
odgłos wypadku
odgłos huku",
166,1,詻,-,"rozkaz
polecenie
zamówienie",
167,1,詹,-,"mówić zbyt dużo
gadatliwy
wielomówny
nazwisko",
168,1,詿,-,"oszukiwać
zwodzić
błąd
pomyłka
mylić się",
169,1,詾,-,"hałaśliwie
hałaśliwy
wrzaskliwy
głośno
gwarno
kłopotliwy
uciążliwy
dokuczliwy",
170,1,詼,-,"żart
dowcip",
171,1,詵,-,"pytać
badać
pytanie
liczny
mnogi
liczebny",
172,1,詡,-,"chwalić się
przechwalać się
szczycić się
chełpić się
pochlebiać
schlebiać
popularny
dobrze znany",
173,1,詧,-,"odkrywać
dowiadywać
badać",
174,1,詘,-,"zginać
giąć
pochylić
uginać się
kucać
przykucać
przysiadać
schylać się",
175,1,詒,-,"oszukiwać
zwodzić
dać
zostawić",
176,1,詗,-,"sprytny
bystry
przebiegły
przenikliwy
informować
dawać informacje",
177,1,詖,-,"argumentować
dowodzić
tendencyjny
stronniczy
jednostronny",
178,1,詎,-,okrzyk używany do wyrażania niespodzianki,
179,1,詀,-,"gadatliwy
rozmowny
rozgadany
żartować
dowcipkować
szeptać",
180,1,詅,-,sprzedawać,
181,1,詆,-,"szkalować
oczerniać
poniżać
denuncjować",
182,1,跎,-,"wahać się
chwiać się
potykać się
zataczać się",
183,1,跅,-,"niedbały
nieostrożny
niestaranny
rozwiązły
rozpustny
rozpasany",
184,1,跟,-,"obcas
pięta",
185,1,跙,-,"słaby
lichy
ułomny
wątły",
186,1,跖,-,podeszwa stopy,
187,1,跗,-,"podbicie
przyszwa",
188,1,跕,-,"tasowanie
zamieszanie
mieszanie
pomieszanie",
189,1,跬,-,krok,
190,1,跥,-,odcisk stopy,
191,1,跤,-,"upadać
przewrócić się
potykać się
borykać się
zmagać się",
192,1,跴,-,"szukać
poszukiwać
nadeptywać
przydeptać
nadepnąć",
193,1,跲,-,"kaptur
osłona
turban
potykać się
potknąć się",
194,1,趂,-,"korzystać z
wykorzystywać
wykorzystać
iść
podążać",
195,1,趁,-,"iść do
podążać",
196,1,趄,-,"słaby
lichy
ułomny
wątły",
197,1,趟,-,"okazja
sposobność
podróżować
czas",
198,1,趑,-,"nie móc poruszać się
wahać się
chwiać się",
199,1,趕,-,"przepędzać
odpędzać
wypędzać
wyganiać
ścigać
śledzić",
200,1,趫,-,"zwinny
szybki
żwawy",
201,1,趯,-,"skok
podskok",
202,1,趦,-,"nie móc poruszać się
wahać się
chwiać się",
203,1,趹,-,"koński galop
uderzenie z kopyta",
204,1,趼,-,"odcisk
pęcherz
bąbel
zgrubiała skóra na rękach lub nogach",
205,1,趲,-,"iść w pośpiechu
przyspieszać
ponaglać",
