59,"WORD_INTERJECTION
WORD_NOUN
WORD_ADVERB",,HIRAGANA,"Genki 1-1
Zwroty grzecznościowe",,只今,ただいま,,tadaima,"już jestem (skrót; po przybyciu do domu)
tu jestem (skrót; po przybyciu do domu)
teraz
obecnie
w tej chwili
właśnie teraz
przed chwilą
od razu
zaraz
za chwilę
wkrótce",pisanie zwykle z użyciem kana,DICTIONARY2_SOURCE,DUPLICATE 50411,GroupId: 1538960
60,WORD_INTERJECTION,,HIRAGANA,"Genki 1-1
Zwroty grzecznościowe",,お帰りなさい,おかえりなさい,,okaeri nasai,"już jesteś
witaj w domu",będąc w domu,DICTIONARY2_SOURCE,,GroupId: 1001740
61,WORD_EXPRESSION,,HIRAGANA,"Genki 1-1
Zwroty grzecznościowe",,頂きます,いただきます,,itadakimasu,"smacznego (przed jedzeniem)
wyrażanie wdzięczności przed jedzeniem
otrzymałem (ten posiłek) (dosłownie)",pisanie zwykle z użyciem kana,DICTIONARY2_SOURCE,,GroupId: 1410800
62,WORD_INTERJECTION,,HIRAGANA,"Genki 1-1
Zwroty grzecznościowe",,ご馳走さま,ごちそうさま,,gochisou sama,"dziękuję (za posiłek)
to był pyszny posiłek
dziękuję (za okazanie miłosnego zachowania) (żartobliwie)",pisanie zwykle z użyciem kana,DICTIONARY2_SOURCE,,GroupId: 1270520
63,WORD_EXPRESSION,,HIRAGANA,"Genki 1-1
Zwroty grzecznościowe",,始めまして,はじめまして,,hajimemashite,"miło mi Cię poznać
przywitanie (pierwsze spotkanie)
cieszę się, że mogę cię poznać",uprzejmie; pisanie zwykle z użyciem kana,DICTIONARY2_SOURCE,,GroupId: 1625780
64,WORD_EXPRESSION,,HIRAGANA,"Genki 1-1
Zwroty grzecznościowe",,どうぞ宜しく,どうぞよろしく,,douzo yoroshiku,"miło mi Cię poznać
miło Cię spotkać
bardzo miło mi
pozdrowienie (kogoś)
moje pozdrowienia
najlepsze życzenia
pamiętaj o mnie",pisanie zwykle z użyciem kana,DICTIONARY2_SOURCE,,GroupId: 1008960
65,WORD_EXPRESSION,,HIRAGANA,"Genki 1-1
Genki dodatkowe 2-19
Zwroty grzecznościowe",,どうぞよろしくお願いします,どうぞよろしくおねがいします,,douzo yoroshiku onegai shimasu,"miło mi Cię poznać
miło Cię spotkać
bardzo miło mi
moje powitanie
najlepsze życzenia",kierowane do osoby wyżej postawionej,IGNORE_NO_JMEDICT,,
66,"WORD_ADJECTIVE_NO
WORD_ADVERB
WORD_NOUN",,HIRAGANA,"Genki 1-1
Genki kanji 1-5",,今,いま,,ima,"teraz
obecnie
zaraz
dopiero co
od razu
natychmiast
kolejny
więcej",,DICTIONARY2_SOURCE,DUPLICATE 61644,GroupId: 1288850
67,"WORD_NOUN
WORD_NOUN_SUFFIX
WORD_NOUN_PREFIX",,HIRAGANA,Genki 1-1,,半,はん,,han,"połowa
pół
częściowo
wpół
nieparzysty numer
liczba nieparzysta
nieparzysta liczba
han (archaizm; jednostka powierzchni, ok 595.8 m^2)",,DICTIONARY2_SOURCE,DUPLICATE 93286,GroupId: 1478750
68,WORD_INTERJECTION,,HIRAGANA,"Genki 1-1
Genki 1-2",,-,あの,,ano,"um
więc
no więc
i ...",,DICTIONARY2_SOURCE,DUPLICATE 130,GroupId: 1000430
69,WORD_NOUN,,HIRAGANA,"Genki 1-1
Genki kanji 1-7
Genki kanji 2-14",,英語,えいご,,eigo,język angielski,,DICTIONARY2_SOURCE,,GroupId: 1174420
70,"WORD_INTERJECTION
WORD_ADJECTIVE_F",,HIRAGANA,"Genki 1-1
Zwroty grzecznościowe",,-,ええ,,ee,"tak (zwykle ええ)
tak jest (zwykle ええ)
prawda (zwykle ええ)
to prawda (zwykle ええ)
um (zwykle えー)
errr (zwykle えー)
he? (zwykle えー)
ze co? (zwykle えー)
grrr? (zwykle えー)
muszę ja? (zwykle えー)
dobry (dialekt Kansai; zwykle ええ)",,DICTIONARY2_SOURCE,,GroupId: 1001140
71,WORD_NOUN,,HIRAGANA,"Genki 1-1
Genki kanji 1-6",,学生,がくせい,,gakusei,"student
studentka",szczególnie uniwersytetu,DICTIONARY2_SOURCE,"DUPLICATE 68155
DUPLICATE 68204",GroupId: 1206900
72,"WORD_NOUN
WORD_NOUN_SUFFIX
WORD_COUNTER",,HIRAGANA,Genki 1-1,,語,ご,,go,"słowo
termin
język
mowa",,DICTIONARY2_SOURCE,DUPLICATE 32116,GroupId: 1270910
73,WORD_NOUN,,HIRAGANA,"Genki 1-1
Genki kanji 1-7",,高校,こうこう,,koukou,"liceum
szkoła średnia",skrót,DICTIONARY2_SOURCE,,GroupId: 1283500
74,"WORD_NOUN
WORD_ADVERB",,HIRAGANA,"Genki 1-1
Genki kanji 1-9",,午後,ごご,,gogo,"po południu
popołudnie
pm",czas,DICTIONARY2_SOURCE,,GroupId: 1268990
75,"WORD_NOUN
WORD_ADVERB",,HIRAGANA,"Genki 1-1
Genki kanji 1-9",,午前,ごぜん,,gozen,"przed południem
przedpołudnie
poranek
ranek
am",czas,DICTIONARY2_SOURCE,,GroupId: 1269060
76,WORD_COUNTER,,HIRAGANA,Genki 1-1,,歳,さい,,sai,"... lat
wiek",才 (prostszy odpowiednik),DICTIONARY2_SOURCE,"DUPLICATE 48366
DUPLICATE 59519
DUPLICATE 162870
EDICT_DUPLICATE 2172",GroupId: 1294940
