60,子,"dziecko
znak szczura
okres od godziny 23 do 1
pierwszy znak chińskiego zodiaku",,"Genki kanji 1-7
Jōyō 1",true,"Kanji: 子
Meaning: child
Meaning: sign of the rat
Meaning: 11PM-1AM
Meaning: first sign of Chinese zodiac"
61,小,"mały
drobny",,"Genki kanji 1-7
Jōyō 1",true,"Kanji: 小
Meaning: little
Meaning: small"
62,会,"spotkanie
spotykanie się
towarzystwo
stowarzyszenie
organizacja
ekipa
grupa
wywiad
dołączanie",,"Genki kanji 1-7
Jōyō 2",true,"Kanji: 会
Meaning: meeting
Meaning: meet
Meaning: party
Meaning: association
Meaning: interview
Meaning: join"
63,社,"firma
biuro
organizacja
stowarzyszenie
świątynia sintoistyczna",,"Genki kanji 1-7
Jōyō 2",true,"Kanji: 社
Meaning: company
Meaning: firm
Meaning: office
Meaning: association
Meaning: shrine"
64,父,ojciec,,"Genki kanji 1-7
Jōyō 2",true,"Kanji: 父
Meaning: father"
65,母,matka,,"Genki kanji 1-7
Jōyō 2",true,"Kanji: 母
Meaning: mother"
66,高,"wysoki
drogi",,"Genki kanji 1-7
Jōyō 2",true,"Kanji: 高
Meaning: tall
Meaning: high
Meaning: expensive"
67,校,"egzamin
szkoła
dowód (drukowany)
dowód
poprawka
korekta",,"Genki kanji 1-7
Jōyō 1",true,"Kanji: 校
Meaning: exam
Meaning: school
Meaning: printing
Meaning: proof
Meaning: correction"
68,毎,"każdy
w każdym
za każdym razem",,"Genki kanji 1-7
Jōyō 2",true,"Kanji: 毎
Meaning: every"
69,語,"słowo
wyraz
mowa
mówienie
język",,"Genki kanji 1-7
Jōyō 2",true,"Kanji: 語
Meaning: word
Meaning: speech
Meaning: language"
70,文,"zdanie
literatura
tekst literacki
styl
sztuka
dekoracja
ozdoba
figura
plan
element podstawowy kanji “literatura”",,"Genki kanji 1-7
Jōyō 1",true,"Kanji: 文
Meaning: sentence
Meaning: literature
Meaning: style
Meaning: art
Meaning: decoration
Meaning: figures
Meaning: plan
Meaning: literary radical (no. 67)"
71,帰,"powrót do domu
wracanie
oddawanie
zwracanie
przybywanie do
prowadzenie do
doprowadzenie do",,"Genki kanji 1-7
Jōyō 2",true,"Kanji: 帰
Meaning: homecoming
Meaning: arrive at
Meaning: lead to
Meaning: result in"
72,入,"wchodzenie
wkładanie",,"Genki kanji 1-7
Jōyō 1",true,"Kanji: 入
Meaning: enter
Meaning: insert"
73,員,"pracownik
członek
obsługa
liczba
???",,"Genki kanji 1-8
Jōyō 3",true,"Kanji: 員
Meaning: employee
Meaning: member
Meaning: number
Meaning: the one in charge"
74,新,"nowy
świeży
od nowa",,"Genki kanji 1-8
Jōyō 2",true,"Kanji: 新
Meaning: new"
